Accession,Description,_Coverage,_# Proteins,_# Unique Peptides,_# Peptides,_# PSMs,128_C/127_N,128_C/127_N Count,128_C/127_N Variability [%],128_N/126,128_N/126 Count,128_N/126 Variability [%],129_N/127_C,129_N/127_C Count,129_N/127_C Variability [%],"Score A(4,11)","Coverage A(4,11)","# Peptides A(4,11)","# PSM A(4,11)","Score A(7,9,12,14)","Coverage A(7,9,12,14)","# Peptides A(7,9,12,14)","# PSM A(7,9,12,14)","Score B(3,6,11,13,17,18)","Coverage B(3,6,11,13,17,18)","# Peptides B(3,6,11,13,17,18)","# PSM B(3,6,11,13,17,18)","Score B(8,10,15)","Coverage B(8,10,15)","# Peptides B(8,10,15)","# PSM B(8,10,15)",# AAs,MW [kDa],calc. pI
P0CG13,Chromosome transmission fidelity protein 8 homolog OS=Homo sapiens GN=CHTF8 PE=1 SV=1 - [CTF8_HUMAN],15.70,1,1,1,8,1.143,-;3,,0.830,-;3,,0.772,-;3,,0.00 ,15.70,1,1,2.82 ,15.70,1,1,5.10 ,15.70,2,3,48.53 ,15.70,2,3,121,13.3,8.18
Q99871,HAUS augmin-like complex subunit 7 OS=Homo sapiens GN=HAUS7 PE=1 SV=3 - [HAUS7_HUMAN],38.32,1,8,9,28,1.143,2;9,19.8,0.891,1;9,0.6,1.165,1;9,10.6,136.25 ,12.50,3,3,17.41 ,10.87,3,3,16.75 ,36.68,8,11,83.41 ,36.68,8,11,368,40.8,4.83
Q9H900,Protein zwilch homolog OS=Homo sapiens GN=ZWILCH PE=1 SV=2 - [ZWILC_HUMAN],24.70,1,11,11,21,1.143,2;7,4.5,1.219,2;7,1.5,1.080,2;7,11.1,59.42 ,8.80,2,2,8.94 ,8.80,2,2,26.50 ,23.86,10,11,101.05 ,9.81,5,6,591,67.2,6.27
A2RUC4,tRNA wybutosine-synthesizing protein 5 OS=Homo sapiens GN=TYW5 PE=1 SV=1 - [TYW5_HUMAN],17.14,1,5,5,10,1.143,-;5,,1.162,-;5,,1.149,-;5,,,,,,,,,,13.64 ,17.14,5,5,66.08 ,17.14,5,5,315,36.5,7.55
Q9H9H4,Vacuolar protein sorting-associated protein 37B OS=Homo sapiens GN=VPS37B PE=1 SV=1 - [VP37B_HUMAN],45.96,1,7,7,28,1.143,-;12,,1.238,1;12,18.2,1.250,1;12,7.7,129.17 ,15.44,2,2,7.64 ,15.44,2,2,48.05 ,45.96,8,12,394.77 ,45.96,8,12,285,31.3,7.34
Q2KHT3,Protein CLEC16A OS=Homo sapiens GN=CLEC16A PE=2 SV=2 - [CL16A_HUMAN],12.35,1,8,8,18,1.143,-;9,,1.110,-;9,,1.050,-;9,,,,,,,,,,27.40 ,12.35,8,9,165.54 ,12.35,8,9,1053,117.6,5.86
O60353,Frizzled-6 OS=Homo sapiens GN=FZD6 PE=1 SV=2 - [FZD6_HUMAN],13.60,1,7,7,17,1.143,-;8,,0.951,-;8,,1.015,1;8,4.4,51.93 ,3.26,1,1,5.89 ,3.26,1,1,19.04 ,13.60,7,8,41.54 ,12.32,6,7,706,79.2,7.96
Q6P3V2,Zinc finger protein 585A OS=Homo sapiens GN=ZNF585A PE=2 SV=2 - [Z585A_HUMAN],13.65,11,1,6,6,1.143,-;1,,1.381,-;1,,1.001,-;1,,0.00 ,0.78,1,1,,,,,6.59 ,12.87,5,5,,,,,769,87.9,9.06
Q15283,Ras GTPase-activating protein 2 OS=Homo sapiens GN=RASA2 PE=1 SV=3 - [RASA2_HUMAN],24.71,1,15,15,32,1.142,-;15,,1.172,-;15,,1.247,-;15,,,,,,,,,,42.13 ,24.71,15,18,144.27 ,21.65,13,14,850,96.6,7.20
Q8N3S3,Putative homeodomain transcription factor 2 OS=Homo sapiens GN=PHTF2 PE=2 SV=2 - [PHTF2_HUMAN],2.80,1,2,2,4,1.142,-;2,,1.155,-;2,,1.160,-;2,,,,,,,,,,4.95 ,2.80,2,2,37.45 ,2.80,2,2,785,88.7,8.90
Q13029,PR domain zinc finger protein 2 OS=Homo sapiens GN=PRDM2 PE=1 SV=3 - [PRDM2_HUMAN],6.34,1,8,10,28,1.142,-;8,,0.987,-;8,,1.031,-;8,,0.00 ,0.41,1,1,6.89 ,0.41,2,2,28.12 ,6.34,9,12,143.11 ,5.82,9,13,1718,188.8,7.31
Q13418,Integrin-linked protein kinase OS=Homo sapiens GN=ILK PE=1 SV=2 - [ILK_HUMAN],51.11,1,18,18,90,1.142,8;32,7.3,1.185,8;32,10.2,1.126,8;33,8.1,163.13 ,30.97,12,12,46.26 ,20.35,13,13,91.96 ,46.02,16,34,394.50 ,33.85,13,31,452,51.4,8.07
Q07889,Son of sevenless homolog 1 OS=Homo sapiens GN=SOS1 PE=1 SV=1 - [SOS1_HUMAN],8.55,1,8,11,21,1.142,-;8,,1.216,-;8,,1.142,-;8,,,,,,,,,,27.33 ,8.55,12,12,99.62 ,6.68,9,9,1333,152.4,6.84
O15297,Protein phosphatase 1D OS=Homo sapiens GN=PPM1D PE=1 SV=1 - [PPM1D_HUMAN],9.09,1,4,4,8,1.142,-;4,,1.119,-;4,,1.145,-;4,,,,,,,,,,8.29 ,9.09,4,4,66.09 ,9.09,4,4,605,66.6,8.94
Q15811,Intersectin-1 OS=Homo sapiens GN=ITSN1 PE=1 SV=3 - [ITSN1_HUMAN],26.61,2,35,42,145,1.142,5;54,5.2,1.210,5;54,4.5,1.187,5;54,6.5,193.96 ,5.93,12,12,45.15 ,5.58,10,10,171.64 ,24.93,43,69,625.39 ,24.23,37,54,1721,195.3,7.77
Q96AB3,"Isochorismatase domain-containing protein 2, mitochondrial OS=Homo sapiens GN=ISOC2 PE=1 SV=1 - [ISOC2_HUMAN]",57.56,1,6,6,45,1.142,1;17,3.1,1.296,1;17,27.8,1.084,-;17,,86.02 ,9.76,1,1,5.72 ,9.76,2,2,58.08 ,57.56,8,19,308.80 ,57.56,8,23,205,22.3,7.77
Q8N612,FTS and Hook-interacting protein OS=Homo sapiens GN=FAM160A2 PE=1 SV=3 - [F16A2_HUMAN],10.91,1,6,7,17,1.142,-;7,,1.187,-;7,,1.278,-;7,,40.48 ,3.19,2,2,2.97 ,2.57,1,1,24.02 ,10.29,6,7,183.87 ,10.29,6,7,972,105.5,6.77
P15056,Serine/threonine-protein kinase B-raf OS=Homo sapiens GN=BRAF PE=1 SV=4 - [BRAF_HUMAN],15.27,1,4,9,19,1.141,-;4,,1.115,-;4,,1.008,1;4,13.7,28.56 ,2.87,1,3,6.26 ,2.87,1,1,20.33 ,11.49,7,8,96.48 ,9.01,6,7,766,84.4,7.53
Q13330,Metastasis-associated protein MTA1 OS=Homo sapiens GN=MTA1 PE=1 SV=2 - [MTA1_HUMAN],43.36,1,16,25,89,1.141,3;28,14.5,1.138,4;28,0.6,1.268,3;27,9.8,242.89 ,18.74,10,10,41.30 ,18.04,11,11,69.23 ,36.78,22,36,533.62 ,34.69,19,32,715,80.7,9.26
Q9BT40,Inositol polyphosphate 5-phosphatase K OS=Homo sapiens GN=INPP5K PE=1 SV=3 - [INP5K_HUMAN],11.83,1,5,5,14,1.141,-;6,,1.003,-;6,,1.091,-;6,,28.51 ,4.46,1,1,3.80 ,4.46,1,1,12.34 ,11.83,6,8,66.82 ,11.83,4,4,448,51.1,6.54
Q16610,Extracellular matrix protein 1 OS=Homo sapiens GN=ECM1 PE=1 SV=2 - [ECM1_HUMAN],32.96,1,10,10,25,1.141,1;12,46.3,0.711,-;12,,0.724,-;12,,0.00 ,2.78,1,1,3.90 ,2.78,1,1,38.41 ,32.96,10,13,127.11 ,25.56,8,10,540,60.6,6.71
Q9Y2L9,Leucine-rich repeat and calponin homology domain-containing protein 1 OS=Homo sapiens GN=LRCH1 PE=1 SV=3 - [LRCH1_HUMAN],25.41,1,11,13,36,1.141,1;14,14.1,1.267,1;13,20.4,0.965,1;14,9.4,0.00 ,0.96,1,1,3.08 ,3.98,1,1,42.90 ,25.41,14,16,219.38 ,22.66,12,18,728,80.8,5.94
Q96FZ7,Charged multivesicular body protein 6 OS=Homo sapiens GN=CHMP6 PE=1 SV=3 - [CHMP6_HUMAN],42.79,1,7,7,30,1.141,1;13,14.3,0.888,1;13,11.3,1.012,1;13,0.9,41.93 ,9.45,2,2,10.30 ,9.45,3,3,34.16 ,35.32,6,12,236.39 ,39.30,7,13,201,23.5,5.31
Q8WYQ3,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial OS=Homo sapiens GN=CHCHD10 PE=1 SV=1 - [CHC10_HUMAN]",22.54,1,2,2,18,1.141,1;7,18.5,0.906,1;7,4.3,1.199,1;7,22.0,74.02 ,16.20,1,2,12.19 ,22.54,2,3,21.88 ,16.20,2,6,243.33 ,22.54,3,7,142,14.1,7.84
O95782,AP-2 complex subunit alpha-1 OS=Homo sapiens GN=AP2A1 PE=1 SV=3 - [AP2A1_HUMAN],50.67,1,28,39,223,1.141,15;56,9.9,1.023,15;56,8.7,1.132,15;56,8.7,661.81 ,22.72,33,36,160.98 ,22.72,34,39,216.98 ,50.56,43,74,1420.66 ,50.56,39,74,977,107.5,7.03
Q8WXC6,Myeloma-overexpressed gene 2 protein OS=Homo sapiens GN=MYEOV2 PE=2 SV=3 - [MYOV2_HUMAN],100.00,1,2,2,7,1.140,-;2,,0.744,-;2,,0.904,-;2,,72.43 ,35.09,1,1,3.12 ,35.09,1,1,4.32 ,100.00,2,3,0.00 ,35.09,1,2,57,6.2,3.83
Q86X53,Glutamate-rich protein 1 OS=Homo sapiens GN=ERICH1 PE=1 SV=1 - [ERIC1_HUMAN],12.19,1,7,7,16,1.140,-;8,,1.260,-;8,,1.115,-;8,,,,,,,,,,19.06 ,12.19,8,9,87.40 ,11.96,6,7,443,49.0,4.78
Q8IUZ5,5-phosphohydroxy-L-lysine phospho-lyase OS=Homo sapiens GN=PHYKPL PE=1 SV=1 - [AT2L2_HUMAN],20.00,1,7,7,18,1.140,-;9,,1.111,-;9,,1.113,-;9,,,,,,,,,,29.05 ,20.00,7,9,58.42 ,20.00,7,9,450,49.7,6.76
Q9UGL1,Lysine-specific demethylase 5B OS=Homo sapiens GN=KDM5B PE=1 SV=3 - [KDM5B_HUMAN],15.93,1,21,21,44,1.140,-;22,,1.061,-;22,,1.098,-;22,,,,,,,,,,67.91 ,15.93,22,24,369.64 ,14.38,18,20,1544,175.5,6.70
Q96GJ1,tRNA (uracil(54)-C(5))-methyltransferase homolog OS=Homo sapiens GN=TRMT2B PE=2 SV=1 - [TRM2_HUMAN],6.15,1,2,2,6,1.140,-;2,,1.315,-;2,,0.675,-;2,,0.00 ,2.98,1,1,3.82 ,2.98,1,1,3.26 ,6.15,2,2,28.98 ,6.15,2,2,504,56.4,8.81
Q6ZMZ3,Nesprin-3 OS=Homo sapiens GN=SYNE3 PE=1 SV=2 - [SYNE3_HUMAN],1.44,2,1,2,2,1.140,-;1,,0.928,-;1,,0.893,-;1,,30.56 ,0.62,1,1,,,,,1.88 ,0.82,1,1,,,,,975,112.1,6.23
P18669,Phosphoglycerate mutase 1 OS=Homo sapiens GN=PGAM1 PE=1 SV=2 - [PGAM1_HUMAN],83.07,1,12,23,509,1.140,18;122,1.1,1.210,17;121,7.7,1.072,18;122,1.9,1450.75 ,56.30,22,90,386.16 ,56.30,24,100,483.89 ,78.74,34,171,2421.23 ,78.74,29,148,254,28.8,7.18
O95271,Tankyrase-1 OS=Homo sapiens GN=TNKS PE=1 SV=2 - [TNKS1_HUMAN],6.25,2,7,7,14,1.140,-;5,,1.012,-;5,,1.164,-;5,,,,,,,,,,17.34 ,6.25,7,9,53.56 ,4.22,5,5,1327,142.0,7.05
Q8NHP6,Motile sperm domain-containing protein 2 OS=Homo sapiens GN=MOSPD2 PE=1 SV=1 - [MSPD2_HUMAN],15.06,1,6,6,15,1.140,1;7,13.0,1.041,1;7,0.3,1.110,1;7,9.6,46.99 ,2.90,1,1,5.17 ,2.90,1,1,24.19 ,15.06,6,7,87.86 ,15.06,6,6,518,59.7,5.96
Q8TDZ2,Protein-methionine sulfoxide oxidase MICAL1 OS=Homo sapiens GN=MICAL1 PE=1 SV=2 - [MICA1_HUMAN],1.97,1,1,2,4,1.140,-;1,,1.248,-;1,,1.009,-;1,,,,,,,,,,6.17 ,1.97,2,2,29.53 ,1.97,2,2,1067,117.8,6.40
Q92508,Piezo-type mechanosensitive ion channel component 1 OS=Homo sapiens GN=PIEZO1 PE=1 SV=4 - [PIEZ1_HUMAN],11.54,1,18,19,48,1.140,2;20,4.1,1.008,2;20,4.3,1.180,2;20,14.5,129.63 ,1.39,2,2,14.20 ,1.39,3,3,58.64 ,10.95,18,21,326.60 ,10.95,18,22,2521,286.6,7.47
Q8N201,Integrator complex subunit 1 OS=Homo sapiens GN=INTS1 PE=1 SV=2 - [INT1_HUMAN],27.08,1,40,40,119,1.140,3;53,10.1,1.086,4;53,18.0,1.027,5;53,12.6,261.35 ,5.16,7,8,40.33 ,5.16,8,9,121.37 ,26.71,41,51,768.22 ,26.58,40,51,2190,244.1,6.13
Q8NCN5,"Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial OS=Homo sapiens GN=PDPR PE=1 SV=2 - [PDPR_HUMAN]",35.49,1,28,28,102,1.140,7;38,6.9,1.170,7;38,6.8,1.146,7;38,8.6,194.71 ,10.47,10,11,43.13 ,10.47,11,12,106.02 ,32.31,26,42,543.54 ,30.03,22,37,879,99.3,6.35
Q96RQ1,Endoplasmic reticulum-Golgi intermediate compartment protein 2 OS=Homo sapiens GN=ERGIC2 PE=1 SV=2 - [ERGI2_HUMAN],22.81,1,5,5,36,1.140,3;10,3.2,1.202,3;10,15.8,1.153,3;10,3.9,86.03 ,9.28,2,4,26.32 ,9.28,4,7,27.92 ,22.81,7,19,94.53 ,15.12,5,6,377,42.5,6.77
Q96KC8,DnaJ homolog subfamily C member 1 OS=Homo sapiens GN=DNAJC1 PE=1 SV=1 - [DNJC1_HUMAN],28.70,1,15,15,46,1.139,4;17,12.1,1.091,4;17,2.8,1.177,4;17,3.9,101.91 ,7.22,6,6,20.83 ,6.14,6,6,39.98 ,23.83,13,18,294.76 ,22.02,11,16,554,63.8,8.63
P50135,Histamine N-methyltransferase OS=Homo sapiens GN=HNMT PE=1 SV=1 - [HNMT_HUMAN],45.89,1,10,10,25,1.139,2;11,2.8,1.336,2;11,4.6,1.230,2;11,7.6,51.52 ,5.48,2,2,6.43 ,3.42,2,2,38.70 ,43.84,10,12,313.01 ,38.70,8,9,292,33.3,5.34
Q12968,"Nuclear factor of activated T-cells, cytoplasmic 3 OS=Homo sapiens GN=NFATC3 PE=1 SV=1 - [NFAC3_HUMAN]",6.33,1,5,5,9,1.139,-;5,,1.011,-;5,,0.896,-;5,,,,,,,,,,12.32 ,6.33,5,5,47.45 ,4.93,4,4,1075,115.5,6.37
P49841,Glycogen synthase kinase-3 beta OS=Homo sapiens GN=GSK3B PE=1 SV=2 - [GSK3B_HUMAN],60.24,1,12,18,64,1.139,2;17,0.6,1.384,2;17,8.9,1.271,2;17,2.1,145.61 ,14.29,4,4,29.42 ,14.29,7,8,84.85 ,60.24,19,27,405.76 ,58.10,17,25,420,46.7,8.78
Q9NNW7,"Thioredoxin reductase 2, mitochondrial OS=Homo sapiens GN=TXNRD2 PE=1 SV=3 - [TRXR2_HUMAN]",53.44,1,19,19,76,1.139,6;26,8.1,0.954,6;27,1.8,1.000,6;27,3.4,190.70 ,26.34,8,9,48.57 ,26.34,11,12,74.04 ,45.42,17,28,364.75 ,45.61,16,27,524,56.5,7.50
Q8IUI8,Cytokine receptor-like factor 3 OS=Homo sapiens GN=CRLF3 PE=1 SV=2 - [CRLF3_HUMAN],28.28,1,9,9,36,1.139,1;14,8.9,0.944,2;14,13.4,1.069,2;14,21.3,125.97 ,10.63,3,4,20.54 ,10.63,4,5,30.12 ,28.28,10,14,202.64 ,28.28,9,13,442,49.7,5.14
Q9NRW7,Vacuolar protein sorting-associated protein 45 OS=Homo sapiens GN=VPS45 PE=1 SV=1 - [VPS45_HUMAN],63.86,1,27,27,113,1.139,10;40,3.2,1.083,10;40,2.2,1.034,10;40,5.1,238.64 ,18.95,11,11,46.28 ,18.95,14,14,87.64 ,52.98,24,44,612.41 ,59.12,23,44,570,65.0,8.24
O95486,Protein transport protein Sec24A OS=Homo sapiens GN=SEC24A PE=1 SV=2 - [SC24A_HUMAN],18.76,1,14,17,66,1.139,4;24,2.3,1.214,4;24,1.9,1.306,4;24,13.8,177.61 ,4.03,6,6,25.60 ,4.03,7,7,79.01 ,16.65,19,27,429.92 ,18.66,17,26,1093,119.7,7.66
Q9BRT3,Migration and invasion enhancer 1 OS=Homo sapiens GN=MIEN1 PE=1 SV=1 - [MIEN1_HUMAN],15.65,1,1,2,4,1.139,-;1,,1.035,-;1,,0.921,-;1,,,,,,,,,,5.68 ,15.65,2,2,42.22 ,15.65,2,2,115,12.4,4.37
Q9Y576,Ankyrin repeat and SOCS box protein 1 OS=Homo sapiens GN=ASB1 PE=1 SV=1 - [ASB1_HUMAN],6.87,1,2,2,2,1.139,-;1,,1.110,-;1,,1.038,-;1,,,,,,,,,,6.79 ,6.87,2,2,,,,,335,37.0,8.21
Q86VP6,Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens GN=CAND1 PE=1 SV=2 - [CAND1_HUMAN],52.52,1,51,55,328,1.139,21;109,7.1,1.188,21;108,4.1,1.192,21;109,7.5,597.91 ,22.52,40,44,174.04 ,22.28,40,44,334.30 ,48.62,61,125,1671.38 ,47.56,53,115,1230,136.3,5.78
P58004,Sestrin-2 OS=Homo sapiens GN=SESN2 PE=1 SV=1 - [SESN2_HUMAN],26.88,1,7,8,18,1.139,-;6,,1.083,-;6,,1.091,-;6,,37.62 ,7.71,1,1,4.82 ,7.71,1,1,22.79 ,19.17,7,8,137.57 ,19.17,7,8,480,54.5,5.90
P00367,"Glutamate dehydrogenase 1, mitochondrial OS=Homo sapiens GN=GLUD1 PE=1 SV=2 - [DHE3_HUMAN]",56.63,2,29,29,260,1.138,28;80,5.3,1.105,28;80,9.5,1.115,29;80,8.9,837.92 ,36.38,31,51,231.84 ,36.38,32,55,265.08 ,51.43,30,79,1255.12 ,51.43,27,75,558,61.4,7.80
Q8TD26,Chromodomain-helicase-DNA-binding protein 6 OS=Homo sapiens GN=CHD6 PE=1 SV=4 - [CHD6_HUMAN],8.99,1,14,20,41,1.138,-;14,,0.997,-;14,,1.061,-;14,,,,,,,,,,46.04 ,8.55,20,22,362.00 ,7.59,17,19,2715,305.2,6.27
Q5TF39,Sodium-dependent glucose transporter 1 OS=Homo sapiens GN=NAGLT1 PE=2 SV=1 - [NAGT1_HUMAN],9.65,1,2,2,6,1.138,-;2,,0.744,-;2,,0.941,-;2,,,,,,,,,,8.27 ,9.65,2,3,75.53 ,9.65,2,3,518,56.2,5.43
P22670,MHC class II regulatory factor RFX1 OS=Homo sapiens GN=RFX1 PE=1 SV=2 - [RFX1_HUMAN],19.51,1,10,10,35,1.138,2;12,16.1,0.868,2;12,25.2,1.017,2;12,11.4,111.82 ,4.19,2,2,13.84 ,4.19,3,3,41.09 ,19.51,10,15,271.23 ,19.51,10,15,979,104.7,6.29
Q9UGP4,LIM domain-containing protein 1 OS=Homo sapiens GN=LIMD1 PE=1 SV=1 - [LIMD1_HUMAN],51.63,1,16,16,61,1.138,2;23,3.7,1.251,2;23,9.8,1.098,2;23,4.9,191.22 ,16.57,5,5,24.61 ,16.57,5,5,70.76 ,46.01,15,28,373.85 ,40.68,13,23,676,72.1,6.65
P25940,Collagen alpha-3(V) chain OS=Homo sapiens GN=COL5A3 PE=1 SV=3 - [CO5A3_HUMAN],0.63,1,1,1,1,1.138,-;1,,1.606,-;1,,1.493,-;1,,,,,,,,,,2.42 ,0.63,1,1,,,,,1745,172.0,6.87
Q6DD88,Atlastin-3 OS=Homo sapiens GN=ATL3 PE=1 SV=1 - [ATLA3_HUMAN],64.70,1,27,28,235,1.138,17;84,4.8,1.243,16;84,6.2,1.244,16;84,6.4,744.05 ,38.08,19,28,147.23 ,37.15,20,32,250.43 ,63.77,37,94,1282.16 ,63.59,33,81,541,60.5,5.66
Q96S99,Pleckstrin homology domain-containing family F member 1 OS=Homo sapiens GN=PLEKHF1 PE=2 SV=3 - [PKHF1_HUMAN],34.41,1,6,7,15,1.138,-;5,,1.075,-;5,,1.079,-;5,,29.63 ,7.89,1,1,3.10 ,7.89,1,1,18.04 ,27.24,6,7,114.79 ,27.24,5,6,279,31.2,8.24
O94885,SAM and SH3 domain-containing protein 1 OS=Homo sapiens GN=SASH1 PE=1 SV=3 - [SASH1_HUMAN],15.40,2,12,13,30,1.138,-;14,,1.141,-;14,,1.069,-;14,,,,,,,,,,39.93 ,14.92,12,15,235.14 ,15.40,13,15,1247,136.6,6.09
Q9P2R6,Arginine-glutamic acid dipeptide repeats protein OS=Homo sapiens GN=RERE PE=1 SV=2 - [RERE_HUMAN],13.67,1,13,13,25,1.137,-;13,,0.973,-;13,,0.937,-;13,,,,,,,,,,46.00 ,13.15,13,13,197.76 ,11.75,12,12,1566,172.3,7.69
Q9Y446,Plakophilin-3 OS=Homo sapiens GN=PKP3 PE=1 SV=1 - [PKP3_HUMAN],34.25,1,18,18,46,1.137,2;20,28.0,0.904,2;20,2.0,0.951,2;20,1.5,62.13 ,9.28,4,4,14.50 ,3.76,5,5,54.96 ,23.71,14,17,339.12 ,26.10,15,20,797,87.0,9.32
Q16342,Programmed cell death protein 2 OS=Homo sapiens GN=PDCD2 PE=1 SV=2 - [PDCD2_HUMAN],29.94,1,7,7,25,1.137,1;10,12.3,1.096,1;10,12.6,1.098,1;10,1.3,79.51 ,11.34,2,2,11.63 ,11.34,3,3,30.61 ,29.94,8,10,200.45 ,29.94,8,10,344,38.6,5.38
P54105,Methylosome subunit pICln OS=Homo sapiens GN=CLNS1A PE=1 SV=1 - [ICLN_HUMAN],33.76,1,7,7,27,1.137,1;12,0.0,1.049,1;12,4.4,1.118,1;12,6.4,82.71 ,5.49,2,2,9.99 ,5.49,2,2,33.30 ,28.27,6,12,204.45 ,25.74,5,11,237,26.2,4.11
P22304,Iduronate 2-sulfatase OS=Homo sapiens GN=IDS PE=1 SV=1 - [IDS_HUMAN],15.82,1,5,5,11,1.137,-;5,,1.031,-;5,,1.024,-;5,,67.26 ,4.91,1,1,5.53 ,4.91,1,1,12.42 ,15.82,4,6,53.95 ,5.27,2,3,550,61.8,5.45
Q03188,Centromere protein C OS=Homo sapiens GN=CENPC PE=1 SV=2 - [CENPC_HUMAN],25.03,1,16,16,54,1.137,-;25,,1.119,-;25,,1.049,-;25,,,,,,2.29 ,2.23,1,1,44.47 ,22.80,16,28,292.36 ,22.80,15,25,943,106.8,9.39
P56589,Peroxisomal biogenesis factor 3 OS=Homo sapiens GN=PEX3 PE=1 SV=1 - [PEX3_HUMAN],46.92,1,11,11,27,1.137,4;9,0.5,1.149,4;9,7.4,1.302,4;9,17.4,131.89 ,13.67,4,4,22.31 ,13.67,7,7,23.98 ,34.32,8,8,137.58 ,25.47,8,8,373,42.1,8.15
Q96B42,Transmembrane protein 18 OS=Homo sapiens GN=TMEM18 PE=1 SV=2 - [TMM18_HUMAN],5.00,1,1,1,2,1.137,-;1,,0.959,-;1,,1.205,-;1,,,,,,3.35 ,5.00,1,1,,,,,30.06 ,5.00,1,1,140,16.3,9.22
Q9BZL1,Ubiquitin-like protein 5 OS=Homo sapiens GN=UBL5 PE=1 SV=1 - [UBL5_HUMAN],69.86,1,6,6,27,1.137,3;9,11.1,1.298,3;9,11.3,1.177,3;9,0.9,86.27 ,28.77,4,4,16.57 ,28.77,6,6,19.39 ,69.86,6,9,92.78 ,69.86,6,8,73,8.5,8.44
Q9H2Z4,Homeobox protein Nkx-2.4 OS=Homo sapiens GN=NKX2-4 PE=2 SV=3 - [NKX24_HUMAN],4.24,1,1,1,2,1.137,-;1,,0.780,-;1,,1.130,-;1,,,,,,,,,,2.66 ,4.24,1,1,80.02 ,4.24,1,1,354,36.2,9.58
Q709F0,Acyl-CoA dehydrogenase family member 11 OS=Homo sapiens GN=ACAD11 PE=1 SV=2 - [ACD11_HUMAN],36.54,1,22,22,56,1.137,1;25,1.2,0.828,1;25,46.3,1.466,1;25,33.5,66.13 ,3.85,1,1,6.35 ,3.85,1,1,69.31 ,35.64,22,29,410.58 ,35.26,20,25,780,87.2,8.12
P19838,Nuclear factor NF-kappa-B p105 subunit OS=Homo sapiens GN=NFKB1 PE=1 SV=2 - [NFKB1_HUMAN],29.03,1,24,24,72,1.137,2;32,18.2,1.117,2;32,3.1,1.096,2;32,5.4,93.32 ,4.03,5,5,20.31 ,4.03,5,5,93.61 ,27.48,24,30,440.22 ,28.20,25,32,968,105.3,5.40
O95163,Elongator complex protein 1 OS=Homo sapiens GN=IKBKAP PE=1 SV=3 - [ELP1_HUMAN],38.36,1,32,32,100,1.136,3;44,16.7,1.103,3;44,4.3,1.090,3;44,11.5,180.72 ,10.21,6,6,31.05 ,10.21,8,8,128.41 ,36.19,34,45,873.72 ,33.33,29,41,1332,150.2,5.94
Q9NUL3,Double-stranded RNA-binding protein Staufen homolog 2 OS=Homo sapiens GN=STAU2 PE=1 SV=1 - [STAU2_HUMAN],57.19,1,23,25,102,1.136,4;32,8.8,1.099,4;32,0.2,1.063,4;32,11.7,206.11 ,12.46,10,12,47.50 ,12.46,11,13,111.20 ,55.96,27,41,678.28 ,48.95,22,36,570,62.6,9.61
Q6ZS17,Protein FAM65A OS=Homo sapiens GN=FAM65A PE=1 SV=1 - [FA65A_HUMAN],26.82,1,22,22,60,1.136,-;27,,0.938,1;27,33.7,1.530,1;27,39.5,154.78 ,4.25,3,4,21.26 ,4.25,3,4,76.38 ,25.51,21,25,549.81 ,25.59,21,27,1223,132.2,6.28
Q8NF91,Nesprin-1 OS=Homo sapiens GN=SYNE1 PE=1 SV=4 - [SYNE1_HUMAN],15.45,1,92,98,252,1.136,-;111,,1.171,-;112,,1.140,-;112,,136.21 ,1.20,7,10,31.27 ,1.14,6,8,288.65 ,15.15,101,118,1500.02 ,14.36,92,116,8797,1010.5,5.53
Q8ND04,Protein SMG8 OS=Homo sapiens GN=SMG8 PE=1 SV=1 - [SMG8_HUMAN],26.34,1,17,17,37,1.136,-;19,,1.147,-;19,,1.148,-;19,,,,,,,,,,71.54 ,25.53,18,19,313.06 ,26.34,17,18,991,109.6,7.68
P01350,Gastrin OS=Homo sapiens GN=GAST PE=1 SV=1 - [GAST_HUMAN],16.83,1,1,1,2,1.136,-;1,,0.580,-;1,,,,,,,,,,,,,0.00 ,16.83,1,2,,,,,101,11.4,5.19
Q9BRX9,WD repeat domain-containing protein 83 OS=Homo sapiens GN=WDR83 PE=1 SV=1 - [WDR83_HUMAN],9.52,1,3,3,4,1.136,-;3,,1.132,-;3,,1.144,-;3,,,,,,,,,,6.04 ,9.52,3,3,0.00 ,4.44,1,1,315,34.3,5.58
P31942,Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens GN=HNRNPH3 PE=1 SV=2 - [HNRH3_HUMAN],71.39,1,15,15,263,1.135,11;69,10.6,1.175,8;71,14.6,1.159,10;72,6.5,533.97 ,28.03,11,29,137.91 ,25.72,12,31,250.58 ,69.08,21,103,1194.53 ,69.08,16,100,346,36.9,6.87
O96019,Actin-like protein 6A OS=Homo sapiens GN=ACTL6A PE=1 SV=1 - [ACL6A_HUMAN],47.55,2,17,17,115,1.135,10;39,3.3,1.153,10;39,4.9,1.109,10;39,7.8,301.81 ,25.87,13,17,78.17 ,25.87,14,20,93.88 ,47.55,19,37,449.71 ,47.55,19,41,429,47.4,5.60
